,cumulative_strategy,cumulative_benchmark
2024-09-17,0.8411588454414094,1.4186521468337994
2024-09-18,0.8268786152324265,1.4427363960253103
2024-09-19,0.8284836092770346,1.439936005156683
2024-09-20,0.8261561725940566,1.443981178581981
2024-09-23,0.8240815466913117,1.4476072735692713
2024-09-24,0.8256153675884405,1.444912916080075
2024-09-25,0.8222809748516773,1.4507484507876052
2024-09-26,0.8233114713209949,1.4489303482142428
2024-09-27,0.8198234689820576,1.4550688178209152
2024-09-30,0.8274675908055655,1.4415016003334464
2024-10-01,0.8273530768191957,1.4417010910403298
2024-10-02,0.8287441994454181,1.4392769953740558
2024-10-03,0.8213101572915057,1.4521876689714424
2024-10-04,0.8291832546643666,1.4382669657876608
2024-10-07,0.8211490099724059,1.4522028342105937
2024-10-08,0.8153078387613542,1.4625329512597318
2024-10-09,0.8169956261399969,1.4595053283930912
2024-10-10,0.8120512931305729,1.4683380321943325
2024-10-11,0.8057922722710326,1.4796554926184526
2024-10-14,0.8119239214378179,1.4683961039637654
2024-10-15,0.8081248109037765,1.4752669436562762
2024-10-16,0.8082631299334312,1.4750144362596773
2024-10-17,0.8050530702859529,1.4808725338839934
2024-10-18,0.8065204964608137,1.4781732446097076
2024-10-21,0.8069034758546197,1.4774713282967988
2024-10-22,0.8143199866764329,1.463891411462724
2024-10-23,0.812572641640761,1.467032588681058
2024-10-24,0.812815964218663,1.4665932899241823
2024-10-25,0.810660828611986,1.4704818791728782
2024-10-28,0.8093523188795047,1.4728554240419816
2024-10-29,0.8120233708306898,1.4679946566574544
2024-10-30,0.8271389429795322,1.4406683752425227
2024-10-31,0.8237538689614836,1.4465643243174031
2024-11-01,0.8260703336065758,1.4424964646806921
2024-11-04,0.8159380485251473,1.4601896135743049
2024-11-05,0.7952981385714579,1.4971264645937696
2024-11-06,0.7893880954018896,1.5082519552832683
2024-11-07,0.7864224959111727,1.5139182064675902
2024-11-08,0.7856604026300141,1.5153852892371844
